vOTU	type	present_samples	total_samples_in_type	prevalence	prevalence_percent	mean_abundance_all_samples	mean_abundance_present_samples	total_abundance
swine-186848	swine	42	1758	0.0238907849829352	2.38907849829352	0.0001092393407281	0.00457244669047619	0.192042761
swine-321217	swine	42	1758	0.0238907849829352	2.38907849829352	0.00010799885039818	0.00452052330952381	0.189861979
swine-97044	swine	42	1758	0.0238907849829352	2.38907849829352	0.000107713481797497	0.0045085785952381	0.189360301
swine-476926	swine	42	1758	0.0238907849829352	2.38907849829352	0.000106068714448237	0.00443973333333333	0.1864688
swine-224494	swine	42	1758	0.0238907849829352	2.38907849829352	0.000105531114334471	0.00441723092857143	0.185523699
swine-149495	swine	42	1758	0.0238907849829352	2.38907849829352	0.000104645494311718	0.0043801614047619	0.183966779
swine-416453	swine	42	1758	0.0238907849829352	2.38907849829352	0.000102951313424346	0.00430924783333333	0.180988409
swine-437651	swine	42	1758	0.0238907849829352	2.38907849829352	0.00010182612741752	0.00426215076190476	0.179010332
swine-505790	swine	42	1758	0.0238907849829352	2.38907849829352	0.000100761651308305	0.00421759483333333	0.177138983
swine-249653	swine	42	1758	0.0238907849829352	2.38907849829352	0.000100210955631399	0.00419454428571429	0.17617086
swine-315479	swine	42	1758	0.0238907849829352	2.38907849829352	9.65806131968146e-05	0.00404258852380952	0.169788718
swine-511874	swine	42	1758	0.0238907849829352	2.38907849829352	9.57680625711035e-05	0.00400857747619048	0.168360254
swine-295612	swine	42	1758	0.0238907849829352	2.38907849829352	9.381492036405e-05	0.00392682452380952	0.16492663
swine-182328	swine	42	1758	0.0238907849829352	2.38907849829352	9.29994852104664e-05	0.00389269273809524	0.163493095
swine-426255	swine	42	1758	0.0238907849829352	2.38907849829352	9.21526615472127e-05	0.00385724711904762	0.162004379
swine-475373	swine	42	1758	0.0238907849829352	2.38907849829352	9.00820403868032e-05	0.00377057683333333	0.158364227
swine-218533	swine	42	1758	0.0238907849829352	2.38907849829352	8.73509078498294e-05	0.00365625942857143	0.153562896
swine-437176	swine	42	1758	0.0238907849829352	2.38907849829352	8.64335881683732e-05	0.00361786304761905	0.151950248
swine-85006	swine	42	1758	0.0238907849829352	2.38907849829352	8.57904146757679e-05	0.00359094164285714	0.150819549
swine-133569	swine	42	1758	0.0238907849829352	2.38907849829352	8.46318208191126e-05	0.00354244621428571	0.148782741
swine-316798	swine	42	1758	0.0238907849829352	2.38907849829352	8.45571052332196e-05	0.00353931883333333	0.148651391
swine-337649	swine	42	1758	0.0238907849829352	2.38907849829352	8.32247508532423e-05	0.00348355028571429	0.146309112
swine-157823	swine	42	1758	0.0238907849829352	2.38907849829352	7.81714499431172e-05	0.00327203354761905	0.137425409
swine-432620	swine	42	1758	0.0238907849829352	2.38907849829352	7.74504613196815e-05	0.00324185502380952	0.136157911
swine-201165	swine	42	1758	0.0238907849829352	2.38907849829352	7.58390762229807e-05	0.00317440704761905	0.133325096
swine-418812	swine	42	1758	0.0238907849829352	2.38907849829352	7.327795221843e-05	0.00306720571428571	0.12882264
swine-231960	swine	42	1758	0.0238907849829352	2.38907849829352	6.21841342434585e-05	0.00260285019047619	0.109319708
swine-108518	swine	42	1758	0.0238907849829352	2.38907849829352	5.6494845847554e-05	0.00236471283333333	0.099317939
swine-151657	swine	41	1758	0.0233219567690557	2.33219567690557	0.00155019396473265	0.0664692924390244	2.72524099
swine-481509	swine	41	1758	0.0233219567690557	2.33219567690557	0.001152873629124	0.0494329717073171	2.02675184
swine-317032	swine	41	1758	0.0233219567690557	2.33219567690557	0.000760949982935154	0.0326280504878049	1.33775007
swine-154421	swine	41	1758	0.0233219567690557	2.33219567690557	0.000704057923777019	0.03018863	1.23773383
