sample	Continent	Shannon_index	nReads	sum_len	num_seqs	Shannon_residual
CNS0178891	Asia	5.62198	216490539	633267145	718454	0.0624777023836661
CNS0178892	Asia	6.20482	184942544	902185927	1076027	0.270761064924553
CNS0178893	Asia	5.57936	220376116	875665323	969119	-0.355721697190468
CNS0178894	Asia	5.74091	188285476	814319934	1002158	-0.0623247775583465
CNS0178895	Asia	4.85383	170439346	513696393	569104	-0.486583754173373
CNS0178896	Asia	5.56426	153933568	735808545	882834	-0.141089076770948
CNS0178897	Asia	5.29271	155761029	640586759	747870	-0.270621004607639
CNS0178898	Asia	4.65042	215181124	661568409	744847	-0.962023271543915
CNS0178899	Asia	6.17106	228189901	1148091830	1327932	-0.0453133976872204
CNS0178900	Asia	5.721	273717763	907358364	1074860	-0.216665836265424
CNS0178901	Asia	5.82551	317206638	938899721	1020349	-0.191093173089882
CNS0178902	Asia	6.49263	194585184	880337898	1065099	0.593995577741917
CNS0178903	Asia	5.46032	155260047	552422822	563911	-0.00385140922688047
CNS0178904	Asia	6.26915	176547779	932230570	1248061	0.355165444510215
CNS0178905	Asia	5.81084	174880108	684759631	803382	0.176994115464063
CNS0178906	Asia	5.13052	183580562	624258463	644719	-0.462312219964243
CNS0178907	Asia	5.8688	155529911	904354777	1109780	-0.0565012541377471
CNS0178908	Asia	3.90831	185116922	657226355	799472	-1.66059741798358
CNS0178910	Asia	5.93536	175767600	629125319	685113	0.359528169732676
CNS0178911	Asia	6.09223	136708073	759056289	911176	0.350362902398647
CNS0178912	Asia	5.47765	156524166	621533437	694629	-0.0734795118212883
CNS0178913	Asia	5.73692	193666611	950921929	1155431	-0.246163632786268
CNS0178914	Asia	5.30286	139578735	635033724	751769	-0.245512477741019
CNS0178915	Asia	5.50696	138749636	645055924	725113	-0.0848487504717516
CNS0178916	Asia	5.45464	167820614	737288776	954227	-0.213869770076715
CNS0178917	Asia	5.15238	181661365	532959883	559755	-0.254901712167792
CNS0178918	Asia	6.0469	127176188	771296560	880744	0.261063570366882
CNS0178919	Asia	5.93248	160817172	857548202	1016853	0.0502290285597682
CNS0178920	Asia	5.97307	177048449	655354048	759292	0.382397736652518
CNS0178921	Asia	5.55905	281710175	1427192055	1670584	-0.892119086216562
CNS0178922	Asia	5.62897	152704156	797003298	906938	-0.192482582358717
CNS0178923	Asia	5.30034	176903530	759005400	844877	-0.47497154847329
CNS0178924	Asia	5.55862	249401495	924174205	974279	-0.459188953717438
CNS0178925	Asia	6.18308	166406278	812915166	1046555	0.402279627731271
